324   	30/03/2019	2	3	15	41	44	3
325   	01/04/2019	11	14	32	35	46	10
326   	03/04/2019	10	16	18	38	45	3
327   	06/04/2019	13	19	24	26	27	7
328   	08/04/2019	9	13	15	24	26	9
329   	10/04/2019	14	16	22	23	42	5
330   	13/04/2019	1	9	17	24	46	8
331   	15/04/2019	17	32	38	40	44	6
332   	17/04/2019	8	17	29	34	48	3
333   	20/04/2019	4	15	30	45	49	3
334   	22/04/2019	5	7	21	29	39	7
335   	24/04/2019	3	11	13	15	35	3
336   	27/04/2019	17	25	26	27	33	2
337   	29/04/2019	6	29	33	39	43	2
338   	01/05/2019	16	25	26	34	48	8
339   	04/05/2019	3	18	24	29	38	9
340   	06/05/2019	5	23	24	35	38	3
341   	08/05/2019	2	4	16	20	35	5
342   	11/05/2019	19	24	34	44	45	2
343   	13/05/2019	15	24	37	40	41	4
344   	15/05/2019	27	38	42	44	46	1
345   	18/05/2019	4	10	19	42	46	5
346   	20/05/2019	14	29	32	41	43	1
347   	22/05/2019	1	27	37	48	49	1
348   	25/05/2019	2	13	42	43	47	10
349   	27/05/2019	13	18	28	33	42	9
350   	29/05/2019	6	13	14	36	48	2
351   	01/06/2019	13	20	26	35	45	3
352   	03/06/2019	9	12	33	41	42	1
353   	05/06/2019	17	26	28	38	47	7
354   	08/06/2019	9	10	14	41	45	1
355   	10/06/2019	9	18	24	39	49	8
356   	12/06/2019	3	25	31	38	45	9
357   	15/06/2019	2	13	20	30	37	6
358   	17/06/2019	12	13	20	31	49	2
359   	19/06/2019	4	18	36	45	46	5
360   	22/06/2019	10	13	20	25	27	2
361   	24/06/2019	1	16	32	33	45	6
362   	26/06/2019	4	7	30	43	47	10
363   	29/06/2019	1	3	4	42	46	3
364   	01/07/2019	3	17	23	38	41	3
365   	03/07/2019	8	31	38	39	45	8
366   	06/07/2019	2	6	12	13	27	10
367   	08/07/2019	11	20	26	33	38	10
368   	10/07/2019	7	21	29	35	47	6
369   	13/07/2019	18	27	37	48	49	10
370   	15/07/2019	1	3	10	13	19	4
371   	17/07/2019	4	26	27	28	47	8
372   	20/07/2019	17	18	21	29	35	6
373   	22/07/2019	7	11	28	37	44	3
374   	24/07/2019	10	25	32	39	40	10
375   	27/07/2019	25	28	31	39	47	8
376   	29/07/2019	3	6	21	29	47	3
377   	31/07/2019	8	18	30	32	36	5
378   	03/08/2019	4	5	7	10	23	4
379   	05/08/2019	5	22	26	33	45	9
380   	07/08/2019	5	26	28	29	36	4
381   	10/08/2019	4	9	12	18	37	3
382   	12/08/2019	9	20	30	31	34	10
383   	14/08/2019	17	27	34	45	48	2
384   	17/08/2019	1	8	21	28	37	2
385   	19/08/2019	2	7	14	28	31	3
386   	21/08/2019	1	3	17	25	38	8
387   	24/08/2019	15	17	23	31	38	4
388   	26/08/2019	4	21	27	46	47	6
389   	28/08/2019	7	14	25	42	47	5
390   	31/08/2019	19	21	25	38	47	4
391   	02/09/2019	2	6	21	33	44	4
392   	04/09/2019	2	4	7	25	35	3
393   	07/09/2019	2	12	16	27	30	2
394   	09/09/2019	2	5	28	42	44	8
395   	11/09/2019	6	14	19	27	35	10
396   	14/09/2019	18	19	23	26	28	9
397   	16/09/2019	13	31	32	35	42	5
398   	18/09/2019	3	5	6	16	36	10
399   	21/09/2019	8	15	41	42	44	10
400   	23/09/2019	20	29	34	36	42	4
401   	25/09/2019	1	7	15	22	26	3
402   	28/09/2019	12	15	18	19	40	5
403   	30/09/2019	2	23	33	43	47	2
404   	02/10/2019	32	33	35	37	49	3
405   	05/10/2019	2	16	30	31	38	5
406   	07/10/2019	2	4	11	19	35	5
407   	09/10/2019	14	17	36	39	44	5
408   	12/10/2019	10	12	16	27	37	9
409   	14/10/2019	6	16	18	24	48	9
410   	16/10/2019	5	18	19	30	35	2
411   	19/10/2019	23	24	31	32	36	8
412   	21/10/2019	3	13	40	42	48	4
413   	23/10/2019	31	33	40	44	49	1
414   	26/10/2019	11	13	20	30	44	9
415   	28/10/2019	17	18	35	36	46	4
416   	30/10/2019	2	13	22	46	48	1
417   	02/11/2019	1	13	16	18	41	3
418   	04/11/2019	1	9	16	39	42	7
419   	06/11/2019	23	27	42	43	44	10
420   	09/11/2019	6	18	24	26	29	3
421   	11/11/2019	13	14	25	27	28	5
422   	13/11/2019	10	13	19	22	35	1
423   	16/11/2019	10	12	29	30	49	9
424   	18/11/2019	6	12	15	31	44	7
425   	20/11/2019	7	22	23	30	37	3
426   	23/11/2019	4	9	22	27	28	4
427   	25/11/2019	33	35	38	41	44	8
428   	27/11/2019	2	15	18	29	44	4
429   	30/11/2019	7	16	17	25	48	3
430   	02/12/2019	11	14	28	39	42	9
431   	04/12/2019	8	26	30	35	40	2
432   	07/12/2019	10	29	38	40	44	8
433   	09/12/2019	1	15	24	25	34	8
434   	11/12/2019	1	25	33	40	48	8
435   	14/12/2019	3	4	17	38	48	9
436   	16/12/2019	10	26	35	38	39	6
437   	18/12/2019	5	6	7	17	23	9
438   	21/12/2019	19	22	23	27	48	2
439   	23/12/2019	7	20	32	36	37	2
440   	25/12/2019	15	24	36	40	45	9
441   	28/12/2019	8	18	24	48	49	8
442   	30/12/2019	12	32	34	38	48	6
443   	01/01/2020	4	7	11	24	32	10
444   	04/01/2020	9	22	31	34	43	5
445   	06/01/2020	10	19	26	30	49	3
446   	08/01/2020	16	17	29	37	44	8
447   	11/01/2020	2	13	14	23	48	3
448   	13/01/2020	11	14	16	25	32	9
449   	15/01/2020	8	19	22	35	46	2
450   	18/01/2020	1	2	12	13	33	9
451   	20/01/2020	13	26	30	31	38	1
452   	22/01/2020	12	25	26	28	42	10
453   	25/01/2020	7	11	17	30	36	5
454   	27/01/2020	7	10	12	27	41	1
455   	29/01/2020	6	14	30	31	45	8
456   	01/02/2020	16	21	22	25	36	9
457   	03/02/2020	7	20	31	33	49	4
458   	05/02/2020	6	11	21	29	30	4
459   	08/02/2020	7	12	31	45	47	10
460   	10/02/2020	15	25	37	38	49	8
461   	12/02/2020	17	30	38	43	47	5
462   	15/02/2020	4	5	25	45	48	7
463   	17/02/2020	7	19	39	41	44	1
464   	19/02/2020	16	21	40	41	46	2
465   	22/02/2020	4	5	24	26	39	4
466   	24/02/2020	9	15	20	27	47	7
467   	26/02/2020	6	20	30	32	45	4
468   	29/02/2020	5	10	19	24	37	6
469   	02/03/2020	21	26	39	40	42	5
470   	04/03/2020	10	17	30	33	49	4
471   	07/03/2020	4	5	24	35	37	2
472   	09/03/2020	5	26	33	41	42	7
473   	11/03/2020	5	14	38	45	46	1
474   	14/03/2020	28	31	38	41	43	10
475   	16/03/2020	4	16	23	40	44	3
476   	18/03/2020	10	28	29	46	48	9
477   	21/03/2020	7	8	16	37	42	8
478   	23/03/2020	5	21	28	48	49	2
479   	25/03/2020	24	32	34	40	45	1
480   	28/03/2020	22	23	26	32	35	5
481   	30/03/2020	12	17	21	23	37	7
482   	01/04/2020	3	28	41	42	48	6
483   	04/04/2020	2	35	39	40	42	9
484   	06/04/2020	7	18	23	29	35	4
485   	08/04/2020	6	9	16	19	26	9
486   	11/04/2020	1	8	41	43	48	7
487   	13/04/2020	1	17	19	23	42	9
488   	15/04/2020	1	3	16	31	48	6
489   	18/04/2020	1	27	33	45	47	8
490   	20/04/2020	5	7	9	37	41	6
491   	22/04/2020	28	30	40	41	43	7
492   	25/04/2020	6	10	13	24	49	3
493   	27/04/2020	11	14	19	29	41	9
494   	29/04/2020	5	7	25	29	47	1
495   	02/05/2020	9	12	22	30	43	4
496   	04/05/2020	8	9	15	33	39	10
497   	06/05/2020	10	14	15	36	48	3
498   	09/05/2020	29	35	39	47	48	7
499   	11/05/2020	3	5	17	33	34	10
500   	13/05/2020	4	17	38	43	49	8
501   	16/05/2020	19	26	27	41	46	4
502   	18/05/2020	10	14	20	30	35	9
503   	20/05/2020	14	20	39	45	47	8
504   	23/05/2020	3	22	23	28	29	2
505   	25/05/2020	9	26	30	36	42	4
506   	27/05/2020	6	12	29	31	44	6
507   	30/05/2020	5	14	16	42	44	9
508   	01/06/2020	2	24	26	32	36	7
509   	03/06/2020	12	13	16	26	44	6
510   	06/06/2020	7	14	29	43	44	5
511   	08/06/2020	2	8	22	26	46	1
512   	10/06/2020	9	11	20	36	47	2
513   	13/06/2020	5	6	25	28	32	4
514   	15/06/2020	2	22	26	47	49	2
515   	17/06/2020	10	13	20	26	46	1
516   	20/06/2020	8	14	24	33	38	5
517   	22/06/2020	5	9	21	36	39	5
518   	24/06/2020	8	17	31	34	36	7
519   	27/06/2020	1	2	6	27	39	4
520   	29/06/2020	20	21	29	46	47	7
521   	01/07/2020	5	13	14	44	47	8
522   	04/07/2020	13	23	27	36	44	6
523   	06/07/2020	2	11	30	35	42	6
524   	08/07/2020	9	26	30	37	48	8
525   	11/07/2020	6	28	32	35	40	7
526   	13/07/2020	2	3	24	35	46	8
527   	15/07/2020	4	6	12	35	44	3
528   	18/07/2020	11	22	34	42	43	4
529   	20/07/2020	8	22	26	28	42	2
530   	22/07/2020	4	18	20	28	38	1
531   	25/07/2020	6	10	15	18	48	4
